response_id,age_group,customer_stage,channel,cluster,cluster_group,complaint,severity,existing_insurance,consultation_needed
1,20대,가입 검토,모바일,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,5,없음,예
2,20대,정보 탐색,모바일,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,5,없음,예
3,40대,상담,모바일,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,4,없음,예
4,30대,상품 비교,모바일,갱신 조건,주의사항,갱신형 상품의 장기 비용을 예측하기 어렵다.,3,없음,아니오
5,40대,가입 검토,전화,전문용어 이해,정보 이해,약관의 전문 표현을 일상적인 말로 바꿔서 보고 싶다.,4,없음,아니오
6,20대,가입 검토,웹,전문용어 이해,정보 이해,약관의 전문 표현을 일상적인 말로 바꿔서 보고 싶다.,3,없음,예
7,50대 이상,상품 비교,전화,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,3,있음,아니오
8,30대,가입 검토,웹,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,5,없음,예
9,20대,상담,모바일,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,5,없음,아니오
10,40대,상품 비교,전화,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,3,있음,예
11,50대 이상,가입 검토,모바일,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,4,있음,예
12,20대,가입 검토,웹,보장 범위 이해,정보 이해,암 진단을 받으면 실제로 얼마를 받는지 모르겠다.,5,있음,아니오
13,50대 이상,상담,모바일,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,3,없음,예
14,30대,정보 탐색,모바일,상담 질문 준비,상담,상품을 고르기 전에 확인할 질문 목록이 필요하다.,3,있음,예
15,20대,가입 검토,전화,갱신 조건,주의사항,갱신형 상품의 장기 비용을 예측하기 어렵다.,3,있음,아니오
16,20대,가입 검토,오프라인,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,5,없음,아니오
17,30대,상품 비교,모바일,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,4,없음,아니오
18,20대,가입 검토,전화,보험료 비교,상품 비교,월 납입액과 보장 수준을 함께 비교할 수 있으면 좋겠다.,3,없음,예
19,50대 이상,정보 탐색,웹,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,4,없음,예
20,50대 이상,상품 비교,모바일,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,4,없음,예
21,30대,가입 검토,모바일,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,4,없음,예
22,30대,상품 비교,웹,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,3,없음,예
23,20대,가입 검토,모바일,전문용어 이해,정보 이해,보험 용어가 너무 어려워서 무슨 뜻인지 모르겠다.,4,있음,예
24,40대,상담,모바일,보장 제외 조건,주의사항,기존 질환이 있으면 어떤 보장이 제외되는지 불안하다.,4,없음,예
25,30대,상담,모바일,전문용어 이해,정보 이해,약관의 전문 표현을 일상적인 말로 바꿔서 보고 싶다.,3,없음,예
26,30대,정보 탐색,모바일,상품 보장 비교,상품 비교,상품 A와 상품 B의 보장 차이를 같은 기준으로 비교하기 어렵다.,5,있음,예
27,20대,상품 비교,전화,보험료 비교,상품 비교,보험료만 봐서는 가격 차이가 왜 나는지 모르겠다.,4,없음,예
28,30대,정보 탐색,오프라인,갱신 조건,주의사항,갱신 시 보험료가 얼마나 오를 수 있는지 명확히 알고 싶다.,3,있음,아니오
29,50대 이상,정보 탐색,모바일,보험료 비교,상품 비교,보험료만 봐서는 가격 차이가 왜 나는지 모르겠다.,4,있음,아니오
30,40대,상담,모바일,상품 보장 비교,상품 비교,상품별 보장 항목과 지급 조건을 나란히 보고 싶다.,3,없음,예
31,20대,상담,웹,갱신 조건,주의사항,갱신 주기와 보험료 변동 조건을 찾기 어렵다.,3,없음,예
32,20대,정보 탐색,웹,상담 질문 준비,상담,상담 전에 무엇을 물어봐야 할지 모르겠다.,3,없음,예
33,20대,정보 탐색,모바일,보장 제외 조건,주의사항,면책기간과 보장 제외 항목을 먼저 확인하고 싶다.,5,있음,아니오
34,40대,상품 비교,모바일,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,5,있음,아니오
35,40대,정보 탐색,모바일,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,5,없음,예
36,30대,상품 비교,오프라인,보장 제외 조건,주의사항,보장되지 않는 조건이 설명서 뒤쪽에 있어 찾기 어렵다.,3,있음,아니오
37,40대,가입 검토,웹,보장 범위 이해,정보 이해,보장 내용을 사례 중심의 쉬운 설명으로 보고 싶다.,5,없음,아니오
38,20대,상품 비교,모바일,상담 정보 전달,상담,상담사에게 내 보험 상황을 매번 처음부터 설명해야 한다.,4,없음,아니오
39,20대,가입 검토,모바일,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,4,있음,아니오
40,40대,정보 탐색,웹,상담 정보 전달,상담,상담할 때 내가 궁금한 내용을 정리해서 전달하기 어렵다.,2,없음,아니오
41,40대,가입 검토,모바일,상담 질문 준비,상담,내 상황에 맞는 상담 질문을 미리 준비하고 싶다.,4,있음,예
42,50대 이상,상품 비교,웹,전문용어 이해,정보 이해,갱신형과 비갱신형 같은 전문용어를 쉽게 설명해 줬으면 좋겠다.,5,없음,아니오
43,20대,정보 탐색,전화,전문용어 이해,정보 이해,보험 용어가 너무 어려워서 무슨 뜻인지 모르겠다.,5,없음,예
44,30대,상담,오프라인,상품 보장 비교,상품 비교,어떤 상품의 보장 범위가 더 넓은지 모르겠다.,3,없음,예
45,40대,상담,모바일,상담 정보 전달,상담,상담 전에 기본 정보를 정리해 상담 시간을 줄이고 싶다.,3,있음,예
46,40대,정보 탐색,모바일,보장 범위 이해,정보 이해,이 상품이 어떤 상황을 보장하는지 한눈에 이해하기 어렵다.,4,없음,예
